file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,storage_fluxes,,,,vertical_advection_fluxes,,gas_densities_concentrations_and_timelags,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,variances,,,,,,covariances,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,H,qc_H,LE,qc_LE,co2_flux,qc_co2_flux,h2o_flux,qc_h2o_flux,H_strg,LE_strg,co2_strg,h2o_strg,co2_v-adv,h2o_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,u_var,v_var,w_var,ts_var,co2_var,h2o_var,w/ts_cov,w/co2_cov,w/h2o_cov
[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1,daytime],[#],[#],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[Âµmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[W+1m-2],[W+1m-2],[Âµmol+1s-1m-2],[mmol+1s-1m-2],[Âµmol+1s-1m-2],[mmol+1s-1m-2],[mmol+1m-3],[Âµmol+1mol_a-1],[Âµmol+1mol_d-1],[s],[1,default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1,default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0,KJ/1,KM/2,HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[Âµmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2]
TOB1_EDDY_2014_05_27_1730.dat,2014-05-27,18:00,147.749,1,18000,18000,0.394517187296433,0,84.190113182843,0,77.4544149389314,0,-3.46380704515799,0,1.73874420350311,0,-9999,-9999,-9999,-9999,0.0000000000136838310898525,0.00000000000038560809046654,15.3208741799952,371.573260810644,375.505127256149,0.2,0,431.739693221377,10.4708728592733,10.5816722035553,0.599999999999999,0,285.951213773091,285.003751676856,98025.9493094618,1.19353643416313,1011.04144736314,0.0242527454011609,0.112670624387002,0.00777994940514973,1023.27941154547,1384.59465771244,0.00651840126741063,73.9046193660811,361.315246166968,280.475366128031,-1.43786873509011,-1.21645263451235,0.0282962514213503,1.88361996942219,0.0000000000000152013807957697,8.93149498461374E-016,1.88361996942219,8.55671144976591,49.7684146680414,220.231585331958,0.860745157072969,-9999,0.574930202263086,1.30786181151773,-194.116784509338,-0.0721215325886797,1.08696338677688,0.121350432659853,0,125.176550587317,-18.9960244858483,42.9690591092441,106.99903272297,163.180276135829,228.862657486784,342.877965151665,0.385396161184987,1.02366662419106,87.272606360173,1.01618245600243,69.2943164010851,1.03815042574987,-7.56957044047296,1.03815042574987,1.55556130755223,1.03815042574987,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,89999,89999,89,89,16,4,0,2,6,2,1.49529325433301,0.838758309442457,0.281672059260001,0.116713607266755,0.00303210553925326,145.051509590184,0.0723224792467804,-0.00756957044047296,1.55556130755223
TOB1_EDDY_2014_05_27_1800.dat,2014-05-27,18:30,147.77,1,18000,18000,0.350746234426936,1,31.3794232103443,1,22.8337565664081,1,-3.54758505384376,1,0.512206203594782,1,-15.606071942002,0,0,0,0.00000000000399229455703152,0.000000000000117220368300902,15.4032436475606,372.591943308245,376.713153346752,0.2,0,452.264698308765,10.9399154287393,11.0609209687009,0.2,0,285.217233016967,284.229989887526,98031.2426621093,1.19663979045199,1011.28632835766,0.0241891871500228,0.0331909619929419,0.0081498100031616,1069.01507039988,1315.42803035078,0.00681057914686529,81.2674692749866,246.412959950899,281.116136283464,-1.84998698324645,-1.0719170368639,0.00347138913055637,2.13809962879257,5.70228594966835E-016,2.59185315014073E-016,2.13809962879257,7.12936304006957,59.9111957135877,210.088804286412,0.0930246799226941,-9999,0.541395683279134,1.21518686306702,-434.934413269671,-0.032188761277254,1.37425583561262,0.0478952662625977,0,132.377964441188,-20.0888668214057,45.4410714478593,113.154692972328,172.568046414924,242.029138784809,362.603753383128,0.34346544860897,1.02119801525146,32.2281859582504,1.01464233692442,20.006916519683,1.03691317603864,-4.95995140575205,1.03691317603864,0.448794604881635,1.03691317603864,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,89999,89999,89,89,2,8,0,7,4,0,1.65631411992558,0.556883870371161,0.217175735837298,0.0598480803467746,0.00215381889825459,103.903940679377,0.0266316629050876,-0.00495995140575204,0.448794604881635
TOB1_EDDY_2014_05_27_1830.dat,2014-05-27,19:00,147.791,1,18000,18000,0.340806068849322,1,13.7790282762158,1,20.094548566049,1,-2.91129400988399,1,0.450511869637344,1,-11.6378089203858,0,0,0,-0.0000000000314301610291304,-0.000000000000949763085062005,15.5285584765115,374.874817121142,379.170072576854,0.299999999999999,0,469.245181135027,11.3280445013005,11.4578394160947,0.299999999999999,0,284.67445202891,283.654230987163,98040.0193851996,1.19900165058734,1011.4910200535,0.0241409927192002,0.0291931691524999,0.00845579830893361,1106.90396788434,1265.94984754574,0.00705236586187472,87.4366366116532,159.045879661393,281.628911675278,-1.67551345497979,-1.35649094640912,-0.00720576425751361,2.15579798416891,-0.0000000000000101188246910465,-2.02402309761537E-015,2.15579798416891,6.53398190197695,51.0064669316747,218.993533068325,-0.191511751994226,-9999,0.533143071181172,1.17560898748363,-945.996570619999,-0.0147992079832007,0.685709770036651,0.021310469085401,0,125.448217622238,-19.0372510064957,43.0623136112,107.23124961841,163.534421553382,229.359351470378,343.622103248582,0.333781083636566,1.02104668465995,14.7232603588632,1.01454852688054,18.3531772882192,1.03684251590739,-3.57005695087031,1.03684251590739,0.411471010992061,1.03684251590739,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,89999,89999,89,89,3,7,0,29,9,1,1.44571643604708,0.664595730157628,0.240905808762555,0.0158159842783754,0.00149108585929206,22.5897341258057,0.0121400976363204,-0.00357005695087031,0.411471010992061
TOB1_EDDY_2014_05_27_1900.dat,2014-05-27,19:30,147.812,1,18000,18000,0.397564731372133,0,9.4149376689664,1,36.6461417843051,0,-2.33659395925659,1,0.821248917453619,0,-8.83401028446482,0,0,0,0.000000000045484365896147,0.00000000000133421659945529,15.6636980869201,377.530761341472,381.758471663078,0.5,0,459.471415829834,11.0743064932879,11.1983201225348,0.4,0,284.21364809672,283.217828242429,98038.5567096354,1.20094543662221,1011.3428332922,0.0241022751617466,0.0532169298509945,0.00827967505511637,1082.18172217569,1229.57548410372,0.00689429744485629,88.0126300634998,147.393761928025,281.296120684288,-1.48228266071434,-1.84660060128077,-0.00707713924035939,2.36794124775192,7.80265043762608E-015,2.90380762216864E-015,2.36794124775192,7.97346034229462,38.7543211805891,231.24567881941,-0.171241923151937,-9999,0.575363472856779,1.38878833322308,-1740.04026379145,-0.00804579083100911,0.256914840432087,0.0134726641754448,0,119.574689748605,-18.1459204914564,41.0461215592719,102.210646332879,155.877684761914,218.62066925174,327.533600440957,0.390000097284491,1.01939649282221,11.3677936860566,1.01353426796706,34.4364984437617,1.03612456244782,-2.967137608952,1.03612456244782,0.771730274752817,1.03612456244782,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,89999,89999,89,89,2,2,1,21,3,7,1.71064471919364,0.75062597755767,0.316305969694847,0.0290273538149746,0.00221427331357944,84.7111003124681,0.0093595400171483,-0.002967137608952,0.771730274752817
TOB1_EDDY_2014_05_27_1930.dat,2014-05-27,20:00,147.833,1,18000,18000,0.176079450994417,0,0.665795810009323,2,-45.8519273654639,1,0.0225693648525733,2,-1.0271471733064,1,-8.36507626830487,0,0,0,0.0000000000876195361906648,0.00000000000265466812952298,15.7505392630585,379.128289926119,383.533829992985,-0.2,0,477.204701397367,11.4867052717251,11.6201828877603,0,1,283.836634272257,282.805210932712,98036.4787942708,1.20248629879654,1011.56449024382,0.024070813296871,-0.0665591368302551,0.00859922886651849,1122.30996357316,1195.99956900703,0.00715120735689433,93.8386595327078,73.6896054338697,281.832995161191,-0.746049966349551,-2.13062157311258,-0.0762758092806961,2.25875116805379,-0.0000000000000427322004239148,5.56295468537818E-015,2.25875116805379,6.19552736910557,19.2980094708182,250.701990529181,-1.93519013740435,-9999,0.38266105927101,0.872816874156567,-7238.90909064845,-0.00193399306783474,-0.014520563218697,0.00143038542466154,0,103.938281833654,-15.7730352647147,35.6786487155054,88.8448800267175,135.494047815836,190.032328606686,284.703056676931,0.174443446421636,1.0093784238178,-1.9434557428293,1.00594039495093,-43.9557628914258,1.03213524485169,0.36832192730239,1.03213524485169,-0.984670442413316,1.03213524485169,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,89999,89999,89,89,12,1,0,11,5,0,0.914281822915157,0.632737551126498,0.198614374271477,0.00872670036362691,0.000180507424852319,397.722986850391,-0.00159772099787245,0.00036832192730239,-0.984670442413316
TOB1_EDDY_2014_05_27_2000.dat,2014-05-27,20:30,147.854,0,18000,18000,0.217094365739757,0,-14.1841029054155,0,2.88787264644478,0,2.03802298087126,0,0.0646717861254729,0,-6.75562390938348,0,0,0,0.0000000000564829502981116,0.00000000000177767610209291,15.8235918088599,380.505958144405,385.117970978276,0.2,0,498.012601314561,11.9755845777746,12.1207374947884,0.299999999999999,0,283.546479167514,282.47239299733,98034.2631148003,1.20365544987119,1011.8305917273,0.0240467501146832,0.00419073174093064,0.00897418722945081,1169.86711336675,1169.49944044131,0.00745577750710232,100,0,282.447770269121,-0.476073217122312,-2.25407619030464,-0.0446698286103383,2.30423535545906,0.0000000000000200251211038522,3.56954040399889E-015,2.30423535545906,6.5065555650668,11.9259140384265,258.074085961573,-1.11080362601916,-9999,0.424691122543953,0.956410893034926,464.533176598124,0.0301377828436818,-4.91160956244986,-0.0274232358143248,0,107.503905565083,-16.3141324222235,36.9026119590861,91.8927215635463,140.142198466746,196.551425985101,294.469852484874,0.215292430519675,1.00836971005312,-13.9404168631187,1.005785638057,3.64292312219619,1.03496783988236,2.57584280492175,1.03496783988236,0.0815805867756145,1.03496783988236,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,89999,89999,89,89,14,3,1,4,8,6,1.01073668337216,0.677227937452358,0.224857165245325,0.0103674492264647,0.00110995438925385,17.1240352166618,-0.0114463169772518,0.00257584280492175,0.0815805867756145
TOB1_EDDY_2014_05_27_2030.dat,2014-05-27,21:00,147.874,0,18000,18000,0.312647008101404,0,-14.5645840001387,0,7.02541451552539,1,2.61391105444022,0,0.157292846647075,1,-4.88168639227325,0,0,0,-0.0000000000175100142987635,-0.000000000000545368862507947,15.8976010853402,381.955937757474,386.554561809444,0.2,0,495.148460337314,11.8964423300133,12.0396715887411,0.2,0,283.298167355855,282.232092013749,98032.9597070312,1.20469997035654,1011.78137004643,0.0240260109501483,0.0101925764627304,0.00892257540815651,1162.14977553892,1150.7114904666,0.00740647101162935,100,0,282.34952280374,-0.57457115224014,-2.51001001608711,-0.0344081960657807,2.57516333730517,-0.0000000000000203823411321011,-1.10142493856573E-015,2.57516333730517,6.81766107168759,12.8935389879218,257.106461012078,-0.765583701864805,-9999,0.509433720770768,1.13690427503058,780.821324587944,0.0179298381833873,-2.07312806496365,-0.0234555066216572,0,105.682306944945,-16.037697803845,36.2773160996395,90.3356464608228,137.767560689557,193.220962738405,289.480211651461,0.310169798977686,1.0079866225915,-14.0879331667426,1.00554906759039,7.62129693253211,1.03374238572279,3.12177770515148,1.03374238572279,0.170634129418476,1.03374238572279,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,89999,89999,89,89,11,1,0,24,8,6,1.26328900709065,0.67285097494543,0.337668568025078,0.00819750485862294,0.000873353140635537,42.8160690564715,-0.0115579737702565,0.00312177770515148,0.170634129418476
TOB1_EDDY_2014_05_27_2100.dat,2014-05-27,21:30,147.895,0,18000,18000,0.427796201388451,0,-14.1554733816492,0,7.73257288262092,0,1.94838445835666,0,0.173105590192815,0,-2.4440373298436,0,0,0,-0.0000000000750697406879449,-0.00000000000225300413073532,15.9548979069686,383.188889368106,387.646953955551,0.2,0,478.840749421066,11.5003214702307,11.6341175622186,0.299999999999999,0,283.14192076026,282.111805895466,98015.6254296874,1.20517934208266,1011.56057910147,0.0240170066648149,0.0112172422444944,0.00862871045241068,1123.3964481039,1141.42557885297,0.00715968997402447,98.4204725141003,18.0291307490717,281.847294421915,-0.0257815705750027,-2.78090925013687,-0.0363156405577773,2.78126585795517,0.0000000000000129178125490641,-4.70512197105045E-015,2.78126585795517,7.42579436698788,0.531169028360913,269.468830971639,-0.748145689619073,-9999,0.595789194714047,1.47697982400304,1284.85755379246,0.0108961495059718,-1.83062915752968,-0.0194889391523568,0,109.41157861919,-16.6036291680339,37.5574543863492,93.5233717978226,142.629042961865,200.039260749123,299.695264528087,0.424526610297715,1.00770173414675,-13.6430619887974,1.00540002205385,8.25098674610777,1.03312741468129,2.45754959140535,1.03312741468129,0.184711085435507,1.03312741468129,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,89999,89999,89,89,12,1,0,17,4,2,1.67358407340925,0.856880849087671,0.423494725509163,0.00445638083632447,0.000247118964678206,6.9601204195546,-0.0111909840606885,0.00245754959140535,0.184711085435507
TOB1_EDDY_2014_05_27_2130.dat,2014-05-27,22:00,147.916,0,18000,18000,0.425182847811503,0,-12.0208123438645,0,8.09825747271527,0,2.49259321305427,0,0.181263060592119,0,-3.39507578305072,0,0,0,0.0000000000320672263351967,0.000000000000949808236807072,15.9977565696867,384.019589759416,388.437831092596,0.2,0,473.842071699392,11.3743847265151,11.5052498648526,0.4,0,282.963012674119,281.944788930473,98004.3596981336,1.20581155343668,1011.48790728356,0.0240045901490383,0.0117458463263693,0.00853863427832276,1111.01136397281,1128.61978221499,0.00708123442173598,98.4398272545228,17.6084182421816,281.68356606013,-0.118854318133371,-2.90294976176855,-0.0512807803251445,2.90583437014597,0.0000000000000101035152840979,2.00448270327847E-015,2.90583437014597,8.13153487112501,2.34452886782992,267.65547113217,-1.01118110607273,-9999,0.593810876226259,1.64245484689431,1497.84124991385,0.00934678491516049,-1.48437023450602,-0.0165976091704346,0,101.480840712288,-15.4001090936788,34.8350887012212,86.7442963173394,132.290525120166,185.539342476181,277.971744724167,0.422026258149239,1.0074796048855,-11.5002786292833,1.00531964923051,8.46633660755352,1.03308953350319,2.88692381304127,1.03308953350319,0.18950176512154,1.03308953350319,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,89999,89999,89,89,15,1,0,18,5,1,1.75685158187073,1.02029970153274,0.507758410385153,0.0125025439369163,0.000467103607460521,15.8669534058845,-0.00942905625662023,0.00288692381304127,0.18950176512154
